x,y,z
1.411646789311822374e+02,1.300000000000000000e+02,2.048357274309061893e+01
1.475154025355016927e+02,1.458961195192001128e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.359093074394410223e+02,2.798445181541423565e+01
1.129176559961920674e+02,1.305126188223463544e+02,5.000000000000000000e+01
1.306884692651316584e+02,1.800000000000000000e+02,3.218406184377644053e+01
1.113226493606887857e+02,1.410260905647677134e+02,5.000000000000000000e+01
1.326141566807852996e+02,1.300000000000000000e+02,2.385740059788887280e+01
1.207245378352544947e+02,1.437699342661409219e+02,5.000000000000000000e+01
1.120640676409475418e+02,1.613798989450546060e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.428061691921193130e+02,1.960952097763458113e+01
1.129270712694043510e+02,1.411242316246143389e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.427268436225803612e+02,6.879165634568796150e+00
1.473733615329749398e+02,1.300000000000000000e+02,1.793578120815058696e+01
1.500000000000000000e+02,1.653053697019146853e+02,4.593353680614782064e+01
1.472117296321089555e+02,1.468262348615512565e+02,5.000000000000000000e+01
1.367749089076789915e+02,1.506523831193566423e+02,0.000000000000000000e+00
1.334099236373224642e+02,1.366010718088394924e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.651846646736507864e+02,1.379104906587005885e+01
1.447892738066580876e+02,1.300000000000000000e+02,2.292552032814929674e+01
1.037208692043679719e+02,1.362627213538665387e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.400118955578998907e+02,1.782908507956096855e+01
1.500000000000000000e+02,1.762335275558120884e+02,2.581380162905065845e+01
1.000000000000000000e+02,1.657568172230610060e+02,2.459549320396444116e+01
1.055896205081251793e+02,1.300000000000000000e+02,4.149323253270269873e+01
1.000000000000000000e+02,1.767683238895553757e+02,9.448878011998823823e+00
1.025127200957956006e+02,1.300000000000000000e+02,1.704599864867020642e+01
1.032687097070114532e+02,1.764826657058638659e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.659071085101500955e+02,3.268251452634454779e+01
1.059035963328082062e+02,1.300000000000000000e+02,2.857201085434344279e+01
1.329803023417711074e+02,1.538740234048436832e+02,5.000000000000000000e+01
1.228059505706558099e+02,1.766237110273926874e+02,5.000000000000000000e+01
1.198031971185272084e+02,1.800000000000000000e+02,2.337548684721951986e+00
1.367551462766690520e+02,1.569081106970197084e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.694942786766303016e+02,1.632892067690551130e+01
1.041715286792422575e+02,1.800000000000000000e+02,2.994570248070665386e+01
1.418782183217897739e+02,1.300000000000000000e+02,1.218055483521945881e+01
1.185074443496626202e+02,1.473721721822305710e+02,0.000000000000000000e+00
1.099148623216352689e+02,1.416163245754546551e+02,0.000000000000000000e+00
1.200609631442450507e+02,1.800000000000000000e+02,1.982782881566742716e+01
1.078854201600201321e+02,1.300000000000000000e+02,4.109955362280597768e+01
1.462349424317134492e+02,1.473228749021134831e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.318925323685649857e+02,9.420815821252703781e-01
1.358618202591141539e+02,1.675123682314065547e+02,0.000000000000000000e+00
1.008495373988580752e+02,1.800000000000000000e+02,5.721706703605121902e+00
1.493878421631486617e+02,1.300000000000000000e+02,9.639696013014697584e+00
1.059608108511888815e+02,1.300000000000000000e+02,3.591007579995617505e+01
1.016550888291202455e+02,1.509037499579121970e+02,0.000000000000000000e+00
1.413280678380352526e+02,1.747081251036982223e+02,0.000000000000000000e+00
1.193716319395310563e+02,1.698464790177744987e+02,5.000000000000000000e+01
1.494744031600174310e+02,1.362215454245315414e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.514315381297284659e+02,7.612689377153591952e-01
1.481402358125957619e+02,1.397431320287121821e+02,0.000000000000000000e+00
1.269062271318427833e+02,1.800000000000000000e+02,3.135543628033613928e+01
1.500000000000000000e+02,1.300980028789896892e+02,3.541408839829246702e+00
1.457135574780469653e+02,1.300000000000000000e+02,1.373376049230601303e-01
1.308083990882101659e+02,1.800000000000000000e+02,2.370449994862725873e+01
1.320956767054097725e+02,1.300000000000000000e+02,3.083380660020929298e+01
1.000000000000000000e+02,1.518618082137103045e+02,2.746252591331965753e+00
1.000000000000000000e+02,1.307846954547916027e+02,2.632761629338671838e+01
1.078694781416256774e+02,1.550817953196215626e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.617173242944982690e+02,2.157917247498748736e+01
1.421567316440334423e+02,1.381396917646435440e+02,0.000000000000000000e+00
1.428585032295386270e+02,1.735322090756721707e+02,5.000000000000000000e+01
1.382227659861557356e+02,1.754765318052639032e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.625279268290579182e+02,1.870361525666338309e+01
1.500000000000000000e+02,1.452400637786581399e+02,2.631609202339924014e+00
1.000000000000000000e+02,1.765289880375756297e+02,1.373765866438311178e+01
1.420762103090274877e+02,1.527368147185588327e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.431880870919627284e+02,2.889055845922037236e+01
1.403316728563552545e+02,1.762111414215056584e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.607076853882451815e+02,2.621786217121790230e+01
1.029074146413006616e+02,1.615701679286279671e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.753428730909101887e+02,2.254511600142253158e+01
1.500000000000000000e+02,1.458761853900071515e+02,3.645249320438199447e+01
1.311657020308603023e+02,1.300000000000000000e+02,1.180420653585476032e+01
1.000000000000000000e+02,1.684009480258785061e+02,4.007668960218314425e+01
1.320217152969652261e+02,1.800000000000000000e+02,3.323599498065816960e+01
1.319121350962985559e+02,1.300000000000000000e+02,9.378921848918631454e+00
1.481466815757993913e+02,1.800000000000000000e+02,1.983639906182564161e+01
1.382342146056001297e+02,1.700092340366898895e+02,0.000000000000000000e+00
1.323301386007389056e+02,1.594876215997392990e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.669600422077592725e+02,3.809600197185996961e+01
1.179892462256865144e+02,1.642298212076753714e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.488964516742823321e+02,4.929700823689653078e+01
1.500000000000000000e+02,1.567416481707451794e+02,4.142931195727202720e+01
1.500000000000000000e+02,1.667642266944138214e+02,2.006813450136650800e+01
1.153688489736771032e+02,1.744132364144533085e+02,0.000000000000000000e+00
1.041622760115765658e+02,1.358955651692811557e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.403766825364210149e+02,4.559203040392419126e+01
1.229479084192134337e+02,1.800000000000000000e+02,3.380033640439850728e+01
1.093995749637519026e+02,1.800000000000000000e+02,2.488443269163029115e+01
1.379924298478040043e+02,1.445858822932048611e+02,5.000000000000000000e+01
1.494459719738835872e+02,1.370840865218357862e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.306799545323445102e+02,9.500067921481180733e+00
1.190247830171780095e+02,1.581991889066165413e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.398066832697970199e+02,3.939292331276469383e+01
1.290007020139113934e+02,1.770369024801140938e+02,5.000000000000000000e+01
1.067736783361301889e+02,1.342644256140200980e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.445557063358411654e+02,2.275865240889723751e+00
1.115404194316414817e+02,1.626370590380724082e+02,5.000000000000000000e+01
1.478370889598240581e+02,1.800000000000000000e+02,1.924650072590745253e+01
1.259530489431809457e+02,1.300000000000000000e+02,1.924037424880509306e+01
1.056827925307992473e+02,1.583618100185527453e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.322444332235273805e+02,5.095792437860308333e+00
1.000000000000000000e+02,1.722610086895825816e+02,3.263168964367664415e+01
1.050572795135281581e+02,1.800000000000000000e+02,4.044224008564022910e+01
1.480246335847319585e+02,1.300000000000000000e+02,3.579943674223245864e+01
1.000000000000000000e+02,1.462791506567387785e+02,4.715961390450445379e+01
1.500000000000000000e+02,1.330917125714485110e+02,1.695491188659705628e+01
1.000000000000000000e+02,1.740974602286154607e+02,4.486141948970120552e+01
1.008750216400153903e+02,1.681401251369139516e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.406364668633847828e+02,3.485675375881702820e+01
1.000000000000000000e+02,1.670011686894185914e+02,3.506032331563149995e+01
1.387738644898429641e+02,1.424139695351360899e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.618070953751093839e+02,1.775811095047455979e+01
1.500000000000000000e+02,1.765204974763328778e+02,1.382453727618804962e+01
1.273371023872309280e+02,1.352144038395016139e+02,0.000000000000000000e+00
1.477613825570182371e+02,1.427135983542984263e+02,5.000000000000000000e+01
1.499435511437091861e+02,1.300000000000000000e+02,3.262564407996534754e+01
1.370208884899786028e+02,1.800000000000000000e+02,1.676176784593933888e+01
1.373379222931981758e+02,1.461510804990851966e+02,5.000000000000000000e+01
1.304982923678391273e+02,1.719439090298080259e+02,0.000000000000000000e+00
1.393546432971329807e+02,1.659486647282829210e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.345514554058344459e+02,1.039250847837046088e+01
1.449831047948496234e+02,1.300000000000000000e+02,3.995051396155885470e+01
1.500000000000000000e+02,1.661788173017189081e+02,1.785078929128270886e+01
1.000000000000000000e+02,1.637117196364460483e+02,2.255108402244455235e+01
1.500000000000000000e+02,1.607847898210253561e+02,4.592014921752602419e+01
1.435430232251682696e+02,1.767129712383988647e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.741801763488552979e+02,3.065865648902948948e+01
1.118371536590217659e+02,1.537823123507559160e+02,0.000000000000000000e+00
1.233688572678449731e+02,1.335207454317742020e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.403093328116558780e+02,3.209845823693994760e+01
1.000000000000000000e+02,1.610119847567857789e+02,4.196648536198890156e+01
1.150571574714623608e+02,1.535148527994449807e+02,5.000000000000000000e+01
1.248712223711292069e+02,1.790782207900249432e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.398384921613474035e+02,2.864720440231049992e+01
1.082365868866450143e+02,1.800000000000000000e+02,4.654481625747365570e+01
1.291784318804728287e+02,1.300000000000000000e+02,2.540594105338734465e+01
1.416978243272461953e+02,1.300000000000000000e+02,7.174366714879937490e+00
1.000000000000000000e+02,1.707820466907413675e+02,1.256289718836105607e+01
1.198667484921754323e+02,1.300000000000000000e+02,4.472045780227223766e+00
1.500000000000000000e+02,1.651072332483751097e+02,1.113626098849733204e+01
1.500000000000000000e+02,1.360971101534616423e+02,6.332377466207145034e+00
1.000000000000000000e+02,1.489647852723918504e+02,3.508563095430383783e+01
1.500000000000000000e+02,1.366844829820282712e+02,1.350561451872819241e+01
1.123156725403788698e+02,1.501090752493556408e+02,0.000000000000000000e+00
1.273177720721520387e+02,1.800000000000000000e+02,3.529020880384987890e+01
1.115260234882635757e+02,1.800000000000000000e+02,1.679353680792241477e+01
1.146019529151715659e+02,1.300000000000000000e+02,4.881328399531116702e+01
1.351571540943154446e+02,1.300000000000000000e+02,1.292066873059217791e+01
1.000000000000000000e+02,1.331389729248047047e+02,3.199049177159207602e+01
1.233070479162065283e+02,1.800000000000000000e+02,2.438978238281559996e+01
1.051282531272328811e+02,1.677639949080707993e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.328565076901304849e+02,5.790128684243034840e+00
1.017058312064392567e+02,1.714289346078074345e+02,5.000000000000000000e+01
1.061497931694117369e+02,1.360580593338522135e+02,5.000000000000000000e+01
1.018381213288195113e+02,1.667305782381199890e+02,5.000000000000000000e+01
1.339556160464908885e+02,1.525477794279948682e+02,5.000000000000000000e+01
1.403651164523500938e+02,1.300000000000000000e+02,2.174187047928266026e+01
1.218840589414477478e+02,1.326080784569930699e+02,5.000000000000000000e+01
1.221175370165300365e+02,1.629837283531435617e+02,0.000000000000000000e+00
1.320713194698778352e+02,1.353009138368781805e+02,5.000000000000000000e+01
1.348493402962238008e+02,1.600743794424299438e+02,5.000000000000000000e+01
1.199149194866916162e+02,1.800000000000000000e+02,1.358168653482887578e+01
1.147566459372639400e+02,1.800000000000000000e+02,3.314032822664438527e+01
1.500000000000000000e+02,1.378922766411456280e+02,4.006313694132613534e+01
1.500000000000000000e+02,1.382529278544594433e+02,1.897878801259190240e+01
1.084913156488796631e+02,1.300000000000000000e+02,7.972017232767392159e+00
1.311324661098965123e+02,1.627578503196645556e+02,5.000000000000000000e+01
1.290155255285868066e+02,1.419608064636210543e+02,5.000000000000000000e+01
1.138924533018816021e+02,1.800000000000000000e+02,4.164216904551471998e+01
1.500000000000000000e+02,1.734540680291762840e+02,3.047830546432882315e+01
1.107136222640703807e+02,1.549635530870901334e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.691424609123477296e+02,1.487192584253716454e+01
1.416116155217560504e+02,1.324937937317002365e+02,0.000000000000000000e+00
1.420805226245210520e+02,1.565575260368838144e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.375077723695177383e+02,4.438451288494190550e+01
1.000000000000000000e+02,1.655950081461607510e+02,2.645398536290777258e+00
1.144747936114317781e+02,1.800000000000000000e+02,8.472813136040585391e+00
1.000000000000000000e+02,1.712509561952005299e+02,3.866811117573701750e+01
1.341012678601426558e+02,1.800000000000000000e+02,4.888327342869737180e+01
1.000000000000000000e+02,1.352816576318245154e+02,2.147315836216701257e+01
1.500000000000000000e+02,1.522036047514343977e+02,4.717203083543877540e+01
1.359819240459128764e+02,1.505172814478392525e+02,0.000000000000000000e+00
1.308633058339287061e+02,1.548068112460077259e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.732599905233651896e+02,4.108104602055637145e+01
1.493547176843395619e+02,1.300000000000000000e+02,1.477482686960942715e+01
1.183277972136687595e+02,1.591398527923146275e+02,5.000000000000000000e+01
1.155237666759357893e+02,1.327142762500034223e+02,5.000000000000000000e+01
