x,y,z
-1.680339592668978455e+01,1.829458556216559018e+01,-2.265019571184058123e+01
3.634911539535588432e+00,6.552428784838006948e-01,1.315246162909467387e+01
-1.015327525953644283e+01,4.359654505562467364e+01,-1.184431868097359697e+01
1.588705907392744798e+01,4.617513217193927488e+00,-4.741207089747263126e+00
1.488826074919019504e+01,0.000000000000000000e+00,2.897620550917888504e+00
-1.629086897216494734e+01,2.154176844172920546e+00,4.873538674866937370e-01
2.208932335489742371e+01,1.992983029966246988e+01,-1.042844988763342506e+01
1.645045083106828443e+01,2.631449023984339775e+01,1.969971632185412247e+01
6.450640591223093523e+00,9.972080336148600566e+00,1.686483767041510973e+01
6.776063443063840452e+00,0.000000000000000000e+00,-5.200854433973994162e+00
9.014842624521859804e+00,2.244563074088130605e+01,-2.574342335541361848e+01
-1.852572218804801452e+01,2.335286798886728121e+01,-1.827266153476585941e+01
1.846036934424936504e+01,3.753050402712469236e+01,-2.556458545915329950e+00
-1.863391846744665514e+01,3.757850526338282293e+01,-9.402123788515051928e+00
7.463005885812172835e+00,0.000000000000000000e+00,8.224090153929715541e+00
1.095986803413810762e+01,2.563199900090879169e+00,-1.658159175051668655e+01
-2.130172229609959444e+00,0.000000000000000000e+00,1.279975322590428988e+01
-6.615556031600949183e+00,4.639849957972504768e+00,1.344951957713153057e+01
1.190217475666163427e+00,2.855589235863628872e+01,-2.765199619116103946e+01
-6.187693622056084308e+00,0.000000000000000000e+00,-7.207614350842530548e-01
-1.400945338217128544e+01,2.026967485968970450e+01,-2.345944124907382289e+01
-8.736778412186241738e+00,2.179568951370632846e+01,2.251125439949681351e+01
-1.790187862969805366e+01,3.230072931021879867e+01,7.624353102563079077e+00
9.890309559306050602e+00,8.083195726660033387e+00,1.319837687733830833e+01
5.341167499846324773e+00,4.314332110843802326e+01,1.283788661004710718e+01
9.709417420370378693e+00,3.186848671610063022e+00,-1.698184152312330042e+01
-2.595764198887195207e+01,2.644336413252104734e+01,-9.062108078719198545e+00
-2.824656896711140508e+00,3.367413062147757330e+01,-2.330126128523409790e+01
-4.598193508900397575e+00,0.000000000000000000e+00,-8.917632853704757778e+00
4.368676495488124090e+00,0.000000000000000000e+00,-7.961313972242999526e+00
-2.761231455732381601e+00,4.205439939600493204e+01,-1.816805208012298323e+01
-8.689509619433858134e+00,1.741506911105174282e+01,1.983822466297129949e+01
-1.386476221185236923e+01,3.103675109417121103e+00,-8.515754802820241665e+00
-3.957971985857247077e+00,4.454065200000000146e+01,8.755200135027182640e+00
2.457239744381052304e+01,2.531122285991063592e+01,-1.596132698564101560e+00
-1.802237748820360963e+01,4.910243016867980259e+00,1.356980446050104483e+00
1.544576684394514743e+01,1.125472060217350112e+01,-1.683859188664609974e+01
-3.374008621571541688e+00,4.200689837223256262e+01,-1.775220058270904033e+01
9.299745719585128967e+00,0.000000000000000000e+00,4.252431374004977727e+00
-6.968009614874189239e+00,2.952318877756022175e+01,-2.285636250468872888e+01
1.872955771519236734e+01,3.550473800090935583e+01,-1.061429663502119958e+01
1.030135540096489066e+01,0.000000000000000000e+00,-8.370590417325589172e+00
-1.834078211143701154e+01,2.306819902531718469e+01,1.631999148362324092e+01
-1.703393633057783418e+01,2.816547971392627403e+01,1.698658056391055027e+01
1.153783634227827548e+01,7.909265630389498369e+00,1.189388389213045905e+01
-3.917820483055685643e-01,2.930159364887536100e+01,-2.777122484348387133e+01
-6.449830265499461035e-01,0.000000000000000000e+00,-1.502382789881390757e+01
-1.278273215371802785e+01,3.801506037501227553e+01,1.413348298213763421e+01
1.359167166207271293e+00,4.454065200000000146e+01,5.053769258188236080e+00
1.053189013222867843e+01,2.451250719662576572e+01,2.215329511493112946e+01
2.341952120171538709e+01,1.379088221226597000e+01,3.598504496529582042e+00
2.047996665117076986e+01,2.735983325898355289e+01,7.684353331640693341e+00
2.063671465796361204e+01,1.046226553014582450e+01,4.197216130989751548e-01
-9.456708343572195474e+00,0.000000000000000000e+00,-6.325245531100405216e+00
-2.763446815380277144e+00,6.065844831318377928e+00,-1.842133977220060714e+01
-1.932507432674855252e+01,1.728974383940344239e+01,-1.466418388157882013e+01
-1.689510420932459311e+01,3.807786412322004566e+01,-1.035682551536644169e+01
-1.567681480275229156e+01,4.229686593124293292e-01,1.398643262626887207e+00
3.983499088156083445e+00,3.219063809521310304e+01,1.831422940422483947e+01
1.014673721698039621e+01,4.449086775250865600e+01,1.176816291550092686e+01
1.551463081538310540e+01,7.260338360028983473e+00,-1.016360419489909539e+01
