x,y,z,fx,fy,fz,p
1.750134644114758886e-01,-1.930638652317720805e+00,-3.360520441521259727e+00,2.177204175140767006e+01,0.000000000000000000e+00,-2.177204175140767006e+01,1.026343890846466593e+03
5.344338443236074099e-02,2.500000000000000000e+00,3.312515561662480401e+00,0.000000000000000000e+00,1.533821876914391424e+00,-0.000000000000000000e+00,5.112739589714637134e+01
8.761109932047772553e-01,2.500000000000000000e+00,-5.834515803008288176e-02,0.000000000000000000e+00,7.711864116397947555e+00,0.000000000000000000e+00,2.570621372132648617e+02
-2.064310130584389391e+00,2.500000000000000000e+00,1.231945419827537913e+00,0.000000000000000000e+00,4.025044262671887196e+00,-0.000000000000000000e+00,1.341681420890628829e+02
-1.656898281572196652e+00,2.500000000000000000e+00,7.803205738011229631e-01,0.000000000000000000e+00,5.703573579814847250e+00,-0.000000000000000000e+00,1.901191193271615418e+02
-8.268183990933763994e-02,2.500000000000000000e+00,-3.213178100183429642e+00,0.000000000000000000e+00,1.688369951230333843e+00,0.000000000000000000e+00,5.627899837434445374e+01
-1.322076548564415699e+00,1.948676119952609254e+00,-2.213457357368322054e+00,-2.694804288933265113e+01,0.000000000000000000e+00,-2.694804288933264758e+01,1.270342924450202418e+03
-1.342143857214472824e-01,2.974752334158567990e-01,3.401319520211293135e+00,-5.855046813519774673e+01,0.000000000000000000e+00,5.855046813519774673e+01,2.760095537336345387e+03
2.216197568711170796e+00,-2.400770857608238273e+00,1.319336337221567401e+00,6.679469221009684432e+00,0.000000000000000000e+00,6.679469221009685320e+00,3.148731987268515695e+02
1.423292758320822804e+00,-1.110222595929274192e+00,-2.112241147611912950e+00,5.871228698110864741e+01,0.000000000000000000e+00,-5.871228698110864741e+01,2.767723750887504593e+03
-2.434573962572297745e+00,3.794590945589071396e-02,-1.100959943360440008e+00,-7.373999452004787258e+01,0.000000000000000000e+00,-7.373999452004785837e+01,3.476136677985646202e+03
3.256866447143444532e+00,-1.945251007310829117e+00,2.786674587892932764e-01,2.201537972115170660e+01,0.000000000000000000e+00,2.201537972115171016e+01,1.037814952748211454e+03
-2.207760737342723267e+00,-1.965783462608865939e+00,-1.327773168590014929e+00,-2.621737618262112335e+01,-0.000000000000000000e+00,-2.621737618262111980e+01,1.235898965576671571e+03
1.960716055562723881e+00,2.424926489130907914e+00,-1.574817850370011874e+00,5.752307459631321507e+00,0.000000000000000000e+00,-5.752307459631321507e+00,2.711663741450179828e+02
9.657416372854348285e-01,-1.468648672591717830e+00,-2.569792268647300926e+00,4.444256010284483693e+01,0.000000000000000000e+00,-4.444256010284483693e+01,2.095042374800819289e+03
2.388205690619260579e-01,3.006214795099597659e-01,3.296713336870811695e+00,6.051282617053580992e+01,0.000000000000000000e+00,6.051282617053581703e+01,2.852601982263242917e+03
-3.194663650057152915e-01,-1.114402114953788381e+00,-3.216067540927022517e+00,-4.849870345831227780e+01,-0.000000000000000000e+00,-4.849870345831227070e+01,2.286250806275204468e+03
-9.356053990068877724e-01,2.500000000000000000e+00,1.673890002941920585e+00,0.000000000000000000e+00,5.467954477355449150e+00,-0.000000000000000000e+00,1.822651492451815898e+02
-8.957819869564178639e-01,-1.219396333579707559e+00,2.639751918976322553e+00,-5.212646955178457375e+01,0.000000000000000000e+00,5.212646955178457375e+01,2.457265339958730237e+03
4.649342384512542559e-01,2.500000000000000000e+00,2.596282455978526471e+00,0.000000000000000000e+00,3.292603039554090838e+00,-0.000000000000000000e+00,1.097534346518030048e+02
-1.472349953706838299e+00,1.339396891841591053e+00,2.063183952225902118e+00,-5.146329677389919510e+01,0.000000000000000000e+00,5.146329677389919510e+01,2.426003075402659306e+03
3.283722317977875615e+00,4.137681291069106315e-01,-2.518115879548599167e-01,5.979014330464232074e+01,0.000000000000000000e+00,-5.979014330464232074e+01,2.818534385255202324e+03
8.846884652024411544e-01,-1.570110153156272226e-01,-2.650845440730294378e+00,7.118690747625534243e+01,0.000000000000000000e+00,-7.118690747625534243e+01,3.355783000543965500e+03
-7.970417703296925893e-01,2.500000000000000000e+00,2.296137833221119973e+00,0.000000000000000000e+00,3.942263476470093675e+00,-0.000000000000000000e+00,1.314087825490030923e+02
1.755265781272572490e+00,2.291538605657052585e+00,-1.780268124660163265e+00,1.190497492081177100e+01,0.000000000000000000e+00,-1.190497492081177100e+01,5.612058997574522436e+02
8.386150833225560763e-01,-2.500000000000000000e+00,-7.499496251495729737e-02,0.000000000000000000e+00,-7.762799335167565928e+00,0.000000000000000000e+00,2.587599778389188145e+02
4.677406687077597103e-01,2.315307492175375792e+00,-3.067793237224976099e+00,8.777331492652491463e+00,0.000000000000000000e+00,-8.777331492652491463e+00,4.137673746117878295e+02
2.789150712346870620e-01,-1.026952234557971355e+00,3.256618834698051135e+00,5.001814255872299952e+01,0.000000000000000000e+00,5.001814255872301374e+01,2.357877852375232123e+03
-1.100331458921601779e-01,2.500000000000000000e+00,1.802247901185324519e+00,0.000000000000000000e+00,5.772801395715007722e+00,-0.000000000000000000e+00,1.924267131905002088e+02
3.432713141547909963e+00,1.634022539518013017e+00,-1.028207643848255692e-01,3.092836109732294503e+01,0.000000000000000000e+00,-3.092836109732294503e+01,1.457976924193550758e+03
-1.101783057564839297e+00,2.500000000000000000e+00,-1.743065880659200984e+00,0.000000000000000000e+00,5.057457109963666930e+00,0.000000000000000000e+00,1.685819036654555418e+02
8.333326499145818356e-02,-5.992842574489953833e-01,-3.452200640941277321e+00,5.450798574381634154e+01,0.000000000000000000e+00,-5.450798574381634154e+01,2.569531089884812445e+03
-9.831126689296341148e-01,-2.500000000000000000e+00,-9.855955880071967101e-01,-0.000000000000000000e+00,-6.777615022866435801e+00,0.000000000000000000e+00,2.259205007622144876e+02
5.987285459737261561e-01,-1.994370389450454084e+00,2.936805359959011597e+00,2.215839246989265376e+01,0.000000000000000000e+00,2.215839246989265732e+01,1.044556638376935098e+03
-1.710732340675731322e+00,1.376178982244117499e+00,1.824801565257009095e+00,-5.056181659570865605e+01,0.000000000000000000e+00,5.056181659570865605e+01,2.383506892262406836e+03
-1.956799114673559714e+00,-2.168143573481571718e+00,1.578734791259180703e+00,-1.752160066384335835e+01,0.000000000000000000e+00,1.752160066384335835e+01,8.259761764430899120e+02
1.120930403830857403e+00,1.637948163410417601e+00,-2.414603502101878352e+00,3.905217590053992893e+01,0.000000000000000000e+00,-3.905217590053992893e+01,1.840937226624109826e+03
-1.399631580578889700e+00,-2.500000000000000000e+00,-2.010248625371268805e+00,-0.000000000000000000e+00,-3.883040571907658833e+00,0.000000000000000000e+00,1.294346857302552678e+02
-2.141998016563588791e+00,7.243127406421101533e-01,1.393535889369151404e+00,-6.831762904570571493e+01,0.000000000000000000e+00,6.831762904570571493e+01,3.220523918187036088e+03
-5.394680618773488590e-01,2.500000000000000000e+00,-7.356214273033263862e-02,0.000000000000000000e+00,8.104414711558209916e+00,0.000000000000000000e+00,2.701471570519402690e+02
4.927329236542590252e-01,2.500000000000000000e+00,2.397263164011425918e+00,0.000000000000000000e+00,3.889687456932948706e+00,-0.000000000000000000e+00,1.296562485644315927e+02
3.009123140509596173e+00,1.637700358919736976e+00,-5.264107654231393596e-01,3.500748463903970986e+01,0.000000000000000000e+00,-3.500748463903970986e+01,1.650268652036591448e+03
1.554882052481940446e+00,2.500000000000000000e+00,-1.666875922394865706e+00,0.000000000000000000e+00,4.408910581336058954e+00,0.000000000000000000e+00,1.469636860445352795e+02
-1.239660542229121365e+00,-6.031521726271811268e-01,2.295873363703619052e+00,-6.970907092134004301e+01,0.000000000000000000e+00,6.970907092134004301e+01,3.286117117246234102e+03
-2.045421385680117332e+00,1.370014176729676958e+00,1.490112520252622863e+00,-5.043843367865177640e+01,0.000000000000000000e+00,5.043843367865177640e+01,2.377690565773506933e+03
-2.516466006780727405e+00,-1.775145546452443490e+00,1.019067899152013013e+00,-3.314084491779009056e+01,0.000000000000000000e+00,3.314084491779009056e+01,1.562274411708073103e+03
9.733565365851184481e-01,9.688078758837797011e-01,2.562177369347619305e+00,5.981850424841971403e+01,0.000000000000000000e+00,5.981850424841972824e+01,2.819871332966258706e+03
1.348172036763235715e+00,-7.054288101040437908e-01,-2.187361869169500039e+00,6.847414276254242793e+01,0.000000000000000000e+00,-6.847414276254242793e+01,3.227902045555299537e+03
-2.268361795182878282e-01,2.347861601725390379e+00,-3.308697726414450369e+00,-6.817554265533440017e+00,0.000000000000000000e+00,-6.817554265533439128e+00,3.213825901510644485e+02
7.428994680767649073e-02,1.225288065310925489e-01,-3.461243959125059000e+00,5.820228692990419006e+01,0.000000000000000000e+00,-5.820228692990419006e+01,2.743682117913360798e+03
3.009504972087609254e+00,1.879909766653816705e+00,5.260289338451289431e-01,2.615013340733695202e+01,0.000000000000000000e+00,2.615013340733695557e+01,1.232729110750722384e+03
2.142409451626200667e+00,-8.022975866830450720e-01,-1.393124454306534865e+00,6.664895863994240699e+01,0.000000000000000000e+00,-6.664895863994240699e+01,3.141862040888333468e+03
2.757142442211518496e+00,-3.430181418447908470e-02,7.783914637212194787e-01,7.019989184601860188e+01,0.000000000000000000e+00,7.019989184601861609e+01,3.309254637525464659e+03
4.818093680112385258e-01,2.500000000000000000e+00,1.535444723215126706e+00,0.000000000000000000e+00,6.275085810530224961e+00,-0.000000000000000000e+00,2.091695270176741133e+02
